total_enthalpy,free_energy,homo,lumo,gap
-19.54283707,-11.88413049,-0.426621673,-0.301795133,0.116945527
-20.92258632,-16.46111621,-0.442653972,-0.310532096,0.112157196
-63.0868192,-63.37095782,-0.351449919,-0.242631073,0.130735328
-36.41424784,-36.28619752,-0.371723522,-0.288620728,0.092808581
-20.66027696,-15.46261539,-0.447278142,-0.326086734,0.109136946
-24.28842291,-23.5572745,-0.440794528,-0.353819079,0.096059099
-49.89781005,-50.406106,-0.361658407,-0.266759222,0.104734499
-28.2153685,-26.46661007,-0.402229791,-0.284849016,0.10876828
-30.849803,-31.3251937,-0.363337499,-0.210065188,0.175914675
-38.78101534,-39.15411644,-0.369584974,-0.254796018,0.127958122
-37.21120808,-37.57760289,-0.394411187,-0.273668065,0.111369499
-51.57422894,-51.57097819,-0.359239473,-0.229009557,0.143111316
-41.08057441,-40.68522682,-0.399881498,-0.318864662,0.079760229
-42.49044695,-41.9265589,-0.400160973,-0.281266783,0.116567386
-37.89126357,-37.48497614,-0.408513707,-0.324256058,0.081605837
-31.25737114,-30.94571515,-0.363407986,-0.197982183,0.180300079
-27.66786083,-24.43806969,-0.353919458,-0.196755327,0.180901029
-46.70566496,-45.43982908,-0.442191341,-0.309748383,0.125310466
-47.81192136,-47.88729829,-0.341768213,-0.213367784,0.148418075
-24.80921146,-21.6906293,-0.351222686,-0.251472932,0.104438646
-47.89234734,-47.81871348,-0.354506664,-0.223170575,0.139896271
-41.10910882,-40.73358722,-0.437327657,-0.336812,0.105075775
-27.16882137,-26.65698687,-0.37882322,-0.275929089,0.12138768
-34.06856166,-33.73730667,-0.375813504,-0.258186691,0.112676496
-36.06725248,-35.85987944,-0.395998799,-0.219291604,0.166739541
-35.44466496,-35.22186941,-0.452037512,-0.360393043,0.091494866
-18.22660423,-18.13259158,-0.419509753,-0.288732326,0.124624081
-18.11903697,-18.10248923,-0.423221085,-0.304179139,0.11960661
-45.38858779,-44.91186276,-0.451824467,-0.360621789,0.092973206
