total_enthalpy,free_energy,homo,lumo,gap
-30.06508934,-28.93123892,-0.361132474,-0.242279961,0.11859265
-22.96501329,-22.86214759,-0.368845888,-0.258776379,0.110815018
-23.05671871,-22.66482704,-0.360961791,-0.245828542,0.112334153
-38.79772534,-39.3191916,-0.36814447,-0.277085607,0.093331706
-37.67255602,-37.7507586,-0.399654136,-0.283730631,0.10321462
-27.18046924,-26.22231172,-0.36206969,-0.244639456,0.118060725
-24.28659609,-23.44576753,-0.3466212,-0.23381672,0.110598628
-30.66798102,-30.68656918,-0.369585941,-0.235306269,0.140107575
-48.31174374,-48.39030286,-0.351121676,-0.269221993,0.082351766
-28.20897848,-27.84433597,-0.344454365,-0.21789038,0.128166921
-50.27065909,-50.46524878,-0.334147068,-0.249451655,0.085375059
-31.23049852,-31.39087504,-0.36942817,-0.235320586,0.131374724
-39.57704298,-40.43247156,-0.332207905,-0.24283571,0.092296634
-38.53456013,-38.30283215,-0.336599804,-0.202268104,0.134716328
-35.18461609,-35.19706704,-0.370110764,-0.254963522,0.11913347
-86.81087409,-87.51695037,-0.378766817,-0.272776414,0.109806274
-37.71823411,-37.53596348,-0.361857764,-0.225088298,0.132802499
-40.89146819,-40.87660218,-0.362819086,-0.227841556,0.133003968
-29.35539414,-29.71999881,-0.354129529,-0.261871867,0.087711745
-37.70877381,-37.78269674,-0.330077356,-0.267787246,0.067108199
-48.31752162,-48.47764883,-0.351357494,-0.268164256,0.083752492
-56.24366992,-56.55744112,-0.375515272,-0.282057704,0.089672587
-40.09370968,-40.17755021,-0.336982198,-0.202606896,0.128906891
-20.29994891,-20.66043613,-0.377912486,-0.201253588,0.177702757
-49.7336441,-49.95642,-0.348090431,-0.265531553,0.086646677
-57.81737452,-58.21703185,-0.361504995,-0.3270868,0.02984458
-52.10285631,-52.55390552,-0.314146912,-0.181973516,0.109434451
-83.00606231,-83.591023,-0.365134384,-0.265778263,0.101665049
-30.47409668,-30.65055236,-0.371113993,-0.224859467,0.140462207
-26.31301154,-20.10959157,-0.3381742,-0.021262255,0.344342435
-45.48539564,-45.62268606,-0.359442641,-0.237226067,0.116909315
-29.88260725,-30.1027188,-0.368563959,-0.286410541,0.084346391
-28.47438499,-28.73169084,-0.346994434,-0.230425058,0.113053371
