total_enthalpy,free_energy,homo,lumo,gap
-64.60448255,-64.37600969,-0.397536946,-0.264803647,0.141489099
-45.80429602,-46.01395515,-0.406491462,-0.311380162,0.099936265
-39.3379219,-38.73732295,-0.42535696,-0.310707684,0.112778454
-40.01679917,-39.90444379,-0.381787706,-0.243228932,0.143538249
-41.18759669,-40.83798914,-0.445801647,-0.340209932,0.107806431
-27.31465583,-22.71367134,-0.403013267,-0.287221321,0.125823071
-40.50303557,-40.68594117,-0.41302622,-0.339825298,0.067954141
-40.00793374,-40.04601086,-0.39346055,-0.264368854,0.130496057
-34.51981221,-34.19438,-0.411056972,-0.299639278,0.109014939
-32.08164152,-31.58101374,-0.397333831,-0.283984921,0.111153754
-42.23187373,-42.22828137,-0.424421675,-0.333628832,0.075947354
-43.05930458,-43.18740297,-0.396055614,-0.304843021,0.092371966
-34.03840767,-34.30957391,-0.40084004,-0.303342189,0.102437251
-42.80546726,-42.77288886,-0.413171855,-0.322352649,0.09587814
-81.69961551,-81.72065341,-0.389298949,-0.277550392,0.117231245
-60.02439727,-60.06807859,-0.382584483,-0.266263407,0.115120576
-76.17852925,-75.85701023,-0.404528832,-0.256725433,0.144697421
-46.72689403,-46.39492768,-0.403826831,-0.259705834,0.151079632
-40.41505669,-39.83303616,-0.384112095,-0.251546654,0.12835727
-36.00169817,-35.76507893,-0.371150642,-0.253828644,0.115769922
-26.96107088,-23.45588358,-0.357168624,-0.210055199,0.17909828
-37.16273604,-36.57066818,-0.402461154,-0.245159221,0.149553983
-34.02850602,-34.2233225,-0.397086782,-0.300119899,0.098385847
-34.66144422,-33.79327138,-0.343927133,-0.201414706,0.183330015
-33.14974969,-33.1405904,-0.371646944,-0.260189905,0.132842412
-26.37798634,-23.22443577,-0.410156634,-0.253683675,0.170197174
-41.22533427,-40.72888637,-0.425457082,-0.30130928,0.118864654
-41.41178469,-41.67926876,-0.383074833,-0.245139629,0.144718015
-50.5169224,-50.69799855,-0.390574384,-0.284482597,0.105616899
-62.87825892,-63.11546711,-0.384574203,-0.252447037,0.128096681
-27.58758836,-27.58721782,-0.408320082,-0.287375072,0.116476549
-33.90526882,-33.65259149,-0.390542234,-0.286121314,0.106720898
-33.21734958,-32.73604832,-0.408309861,-0.320716765,0.087506178
-35.73857902,-35.45160433,-0.405881864,-0.302840548,0.104101399
-36.23084851,-35.77661599,-0.406205452,-0.309357814,0.103530443
-33.30590412,-32.99758312,-0.394080562,-0.261187125,0.133193778
-36.43185974,-35.84579993,-0.400393507,-0.281948852,0.118104335
