smiles,pkb
CN(C(=O)c1ccccc1)c1ccccn1,1.44
Nc1nnnn1Cc1ccccc1,1.44
Nc1cc2ccccc2cc1[N+](=O)[O-],1.48
COc1cc(C)n(-c2ccccc2)n1,1.5
Cn1cncc(-c2ccccc2)c1=O,1.5
CN(C)S(=O)(=O)c1ccc(N)cc1,1.53
CC(=O)NS(=O)(=O)c1ccc(N)cc1,1.58
Cc1cc(-c2ccccc2)n(-c2ccc(C(=O)O)cc2)n1,1.59
COc1cccc(OC)n1,1.6
CN(C)c1ccc(C=O)cc1,1.6
CCNc1nc(Cl)nc(NC(C)C)n1,1.61
COc1ccc(OC)nn1,1.61
Cc1cc(N)ccc1[N+](=O)[O-],1.64
Nc1ccc([I+]c2ccccc2)cc1,1.66
CCN(CC)c1ccc([N+](=O)[O-])cc1,1.7
Brc1ccc(Nc2ccccc2)cc1,1.73
Cn1nncc1Nc1ccccc1,1.73
O=[N+]([O-])c1cc2nc[nH]c2cc1[N+](=O)[O-],1.73
N#Cc1ccc(N)cc1,1.74
Nc1ccc(C=O)cc1,1.74
COC(=O)c1ccc2ccccc2n1,1.75
CCN(CC)S(=O)(=O)c1ccc(N)cc1,1.75
Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1,1.77
CN(C)c1ccc(C#N)cc1,1.78
Nc1ncc(S(=O)(=O)c2ccccc2)s1,1.79
OC1COC(n2cnc3cncnc32)C(O)C1O,1.8
Nc1cccc2nnn(C3CC(O)C(CO)O3)c12,1.8
Oc1ccc2c(c1)Nc1ccccc1N2,1.8
CCCn1nnnc1N,1.8
CC(=O)n1cnc2ccccc21,1.8
O=C(c1ccccc1)n1cnc2ccccc21,1.8
Nc1nnn[nH]1,1.81
O=C(N[NH+]=Cc1ccccc1)c1ccncc1,1.82
Cn1nnnc1N,1.82
Ic1ccccn1,1.82
C[n+]1cnccc1[O-],1.84
Nc1nc(C(F)(F)F)c2[nH]cnc2n1,1.85
O=[N+]([O-])c1ccncc1,1.86
Nc1cccc([I+]c2ccccc2)c1,1.87
Oc1cncnc1,1.87
N#Cc1ccncc1,1.9
Nc1ccc(S(=O)(=O)Nc2cncnc2)cc1,1.9
Nc1cccc2c1nnn2C1CC(O)C(CO)O1,1.9
Cc1cncnc1,1.91
CC(C)n1nnnc1N,1.91
CSc1ncc2[nH]cnc2n1,1.91
O=Cc1cccc(C=O)n1,1.92
Oc1cccc2nnccc12,1.92
O=[N+]([O-])c1ccc2cccnc2c1O,1.94
CSc1nccc(C)n1,1.95
Cc1nn(C)c(C)c1Cl,1.96
Cc1cc([N+](=O)[O-])ccc1N,1.97
O=C(O)c1ccc(N=Cc2ccccc2)cc1,1.97
Cn1cnc(=O)c(-c2ccccc2)c1,1.99
Cc1ccncn1,1.99
Brc1cccc(N2CCc3ccccc3C2)n1,2
CC(C)(C)C(=O)n1cnc2ccccc21,2
N#CCN1CCOCC1,2
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2
CC(=O)N(C)c1ccccn1,2.01
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.03
N#Cc1cncc2ccccc12,2.04
Cc1c[nH]c(C)c1,2.04
O=C1CSc2ncnc(N3CCOCC3)c2N1,2.07
Nc1ccc(Cl)cc1Cl,2.07
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,2.08
COc1nccc(C)n1,2.1
Cc1cc(=O)n(C)cn1,2.1
NC(=O)NN=Cc1ncnc2nc[nH]c12,2.1
Cc1cncc(C)n1,2.11
Nc1ccc(S(N)(=O)=O)cc1,2.11
CSc1nc(C)cc(C)n1,2.12
O=C(O)Cn1ncnn1,2.12
Cn1cncc1[N+](=O)[O-],2.13
NNC(=O)CC([NH2+]CCO)C(=O)[O-],2.13
Cn1cc2ccccc2n1,2.13
Nc1ccc(S(=O)(=O)Nc2nncs2)cc1,2.15
CCc1cccc(N=Nc2ccc(N(C)C)cc2)c1,2.16
Cn1cnc2ncn(C)c2c1=O,2.16
Cc1cc(C)n(-c2cc(C)n(C)n2)n1,2.19
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,2.19
c1ccc2c(c1)nnc1ccccc12,2.2
COC(=O)c1ccccn1,2.21
COc1ncnc2nc[nH]c12,2.21
O=[N+]([O-])c1ccc2[nH]c(CCl)nc2c1,2.21
O=[N+]([O-])c1ccc2[nH]c(CO)nc2c1,2.21
OCNc1ccc(Cl)cc1,2.22
Cc1cc(C)n(-c2cc(C)[nH]n2)n1,2.23
Cc1n[nH]c(C)c1Cl,2.23
Cc1nnn(CC(=O)O)n1,2.23
Nc1cc([N+](=O)[O-])cc2ccccc12,2.24
Nc1ccc(S(=O)(=O)NCc2ccco2)cc1,2.25
NC(=O)c1ccccn1,2.25
Cc1cccc(C)c1Oc1ccccn1,2.26
COC(=O)Nc1ncnc2nc[nH]c12,2.27
CC(=O)c1ccc(N)cc1,2.27
Sc1cccnc1,2.28
c1ccnnc1,2.29
c1ccc2nnccc2c1,2.29
Cn1cnc2ncncc21,2.29
Cn1ccnc1F,2.3
Nc1ccc(Br)cc1Br,2.3
Cn1cncn1,2.31
CC(=O)c1ccccc1N,2.31
Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,2.33
Sc1cnc2ccccc2c1,2.33
Clc1cccc(Nc2ccccc2)c1,2.34
N#CCC(=O)NN,2.34
NC(=O)Nc1ncnc2nc[nH]c12,2.35
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.35
c1ccc(Oc2ccccn2)cc1,2.35
Cn1ccc(=O)c2ccccc21,2.36
C1COCCOCc2n[nH]c(n2)COCCOCCO1,2.36
CCCn1cncn1,2.36
O=[N+]([O-])c1ccc2[nH]c(-c3cccs3)nc2c1,2.36
Cc1ccc(N=Nc2ccc(N(C)C)cc2)cc1C,2.37
COc1nc2ccccc2c2ccccc12,2.38
Nc1ccc(C(=O)O)cc1,2.38
CCn1cncn1,2.39
Fc1ncc[nH]1,2.4
Nc1cccc2nn(C3CC(O)C(CO)O3)nc12,2.4
O=Cc1ncnc2nc[nH]c12,2.4
Nc1ccccc1Br,2.4
CNC(=O)c1ccccn1,2.4
CCNC(=O)c1ccccn1,2.4
CCOC(=O)Nc1ncnc2nc[nH]c12,2.4
Nc1c2c(ncn2Cc2ccccc2)nc[n+]1[O-],2.4
COC(=O)c1cc(Br)c(=O)n(N)c1,2.4
Cn1cnc2cncnc21,2.42
COc1ncc2[nH]cnc2n1,2.44
COC(=O)c1ccc(N)cc1,2.44
CSc1ccc(N)c(I)c1,2.45
Nc1nsc2ccccc12,2.45
c1ncc2[nH]cnc2n1,2.45
COc1cc(S(C)=O)ccc1-c1cn2ccnc(OC)c2n1,2.46
CSc1ccc(N)cc1[N+](=O)[O-],2.47
CCCCOC(=O)c1ccc(N)cc1,2.47
Cn1cccn1,2.48
CCCOC(=O)c1ccc(N)cc1,2.49
Nc1cc(Br)cc(Br)c1,2.49
COc1ccncn1,2.5
Cn1ncc2cncnc21,2.5
