smiles,pka
O=C1COC(=O)C1I,2.31
CC[NH2+]CC(=O)O,2.31
CCC[NH2+]CC(=O)O,2.31
CCCC[NH2+]CC(=O)O,2.32
CCCS(=O)O,2.35
CS(=O)O,2.35
CC(C)=CCC1C(=O)C(C(=O)CC(C)C)=C(O)C1O,2.35
CC(C)[NH2+]CC(=O)O,2.35
CC(C#N)C(=O)O,2.37
Nc1nnnn1CC(=O)O,2.38
O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2o1,2.38
O=C(c1ccccc1)c1cccc([N+](=O)[O-])c1C(=O)O,2.39
CC(C)([NH3+])C(=O)O,2.39
COC(=O)CC1C(C(=O)O)[NH2+]CC1C(C)O,2.4
NC1=[NH+]C(C(=O)O)C(C(O)C[NH3+])N1,2.4
C=C1CC1CC([NH3+])C(=O)O,2.4
Cc1cc(O)[nH+]c2c1CCO2,2.42
O=C(S)c1ccccc1,2.44
CC(=O)C(=O)O,2.45
CC(C)C12C[NH2+]C(C(=O)O)C1CC(=O)O2,2.45
N#CCC(=O)O,2.46
O=C(O)c1cc(Cl)ccc1Cl,2.47
O=C(O)c1ccccc1C(=O)Nc1ccccc1,2.5
[NH3+]C(CCCCN1C(=O)CC([NH3+])C1=O)C(=O)O,2.5
O=C(O)C1CCCC[NH2+]1,2.5
CC(=O)N1CS(=O)CC1C(=O)O,2.5
O=[N+]([O-])c1cc([N+](=O)[O-])c2cn[nH]c2c1O,2.5
CC(C)(C)CC#CC(=O)O,2.54
C=CC(Cl)C(=O)O,2.54
CCC(Br)C(=O)O,2.55
C=C(F)C(=O)O,2.55
Cc1ccc([N+](=O)[O-])c(C(=O)O)c1,2.55
O=C(O)CF,2.56
O=C(O)c1nccs1,2.57
Cc1ccc(C(=O)S)cc1,2.59
CCC#CC(=O)O,2.6
[NH3+]CC(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.61
O=C(O)c1cc(I)ccc1O,2.62
CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O,2.62
[NH3+]Cc1nnn[nH]1,2.62
CC#CC(=O)O,2.63
O=C(O)C12C[NH2+]CCC1O2,2.63
Cn1c[nH+]cc1CC(NC(=O)CC[NH3+])C(=O)O,2.64
O=C(O)c1cc(Cl)ccc1O,2.65
O=C(O)c1cc(Br)ccc1O,2.66
CC(C)(C)C#CC(=O)O,2.66
[NH3+]C1(C(=O)O)CCCCC1,2.66
O=C(O)c1ccc(Cl)cc1Cl,2.68
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,2.68
O=C(O)c1ccc([N+](=O)[O-])s1,2.68
O=C(O)c1sccc1[N+](=O)[O-],2.68
Cc1ccc(C(=O)O)c([N+](=O)[O-])c1,2.68
O=C(O)c1cc(Cl)co1,2.69
NC(=[NH2+])NOCC(=O)O,2.69
O=C(O)c1cc(F)ccc1O,2.7
Cc1cccc(I)c1C(=O)O,2.7
CC1(CC2CCOC2)CC2C34COC(=O)CC3OC(C)(C)C4CC(=O)C2(C)C2(C1)OC2C(=O)O,2.7
O=C(O)c1cnccn1,2.7
O=C(O)c1c(F)c(F)cc(F)c1F,2.71
c1ccc(-c2nnn[nH]2)c(-c2nnn[nH]2)c1,2.71
O=C(O)c1c(F)c(F)c(F)c(F)c1F,2.72
O=C(O)COc1ccc(Cl)cc1Cl,2.73
O=P1(O)CCCCC1,2.73
O=C(O)c1cc([N+](=O)[O-])ccc1F,2.73
O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2s1,2.74
Cc1cccc(Cl)c1C(=O)O,2.75
CC(C)CS(=O)O,2.75
Fc1cc(F)c(F)c(S)c1F,2.75
O=C(O)c1ccccc1C(=O)O,2.76
CC(C)CC([NH3+])C(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.76
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.76
O=C(O)c1nsc2ccccc12,2.76
O=C(O)C1c2ccccc2-c2ccccc21,2.765
CCN(CC)S(=O)(=O)c1ccsc1C(=O)O,2.77
O=C(O)C(=O)C(c1ccccc1)c1ccccc1,2.78
[NH3+]CC(O)C(=O)O,2.78
O=C(O)c1cc2ccccc2cc1O,2.79
O=C(Nc1ccc(Br)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,2.79
O=C(O)CC(c1[nH]cc[nH+]1)c1[nH]cc[nH+]1,2.79
CC(Cl)C(=O)O,2.8
Cc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,2.8
O=C(O)c1ccnnc1,2.8
O=C(Nc1ccc(Cl)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,2.81
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.82
O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,2.82
O=C(O)c1c(F)ccc(F)c1F,2.82
CC(C)C(Br)C(=O)O,2.82
OCCNC(=S)S,2.82
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.83
O=C(O)c1cc([N+](=O)[O-])cs1,2.83
Cn1nnnc1CC(=O)O,2.83
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.84
CCC(Cl)C(=O)O,2.84
CS(=O)(=O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,2.84
O=C(O)c1cc2ccccc2o1,2.84
Cc1ccc(Sc2ccc([N+](=O)[O-])cc2C(=O)O)cc1,2.84
CCC=CCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.84
O=C(O)c1c(F)cccc1F,2.85
COCCNC(=S)S,2.85
Ic1nnn[nH]1,2.85
Ic1nn[nH]n1,2.85
O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1,2.85
O=C(O)c1ncccn1,2.85
CCn1nnnc1CC(=O)O,2.85
O=C(O)CCl,2.85
O=C(O)c1cc([N+](=O)[O-])ccc1C(=O)c1ccccc1,2.86
O=C(O)c1cc[n+]([O-])cc1,2.86
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)c1ccccc1,2.87
CN(C)C(=S)OCC(=O)O,2.87
O=C(O)c1ccccc1Br,2.88
O=C1Cc2c1cc([N+](=O)[O-])c(O)c2Br,2.88
O=C(O)c1ccccc1Cl,2.89
O=C(O)COc1ccc([N+](=O)[O-])cc1,2.89
O=C(O)COc1ccccc1[N+](=O)[O-],2.9
CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O,2.9
Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c2c(n1CC(=O)O)CCN(C(C)C)C2=O,2.9
Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c2c(n1CC(=O)O)CCN(C)C2=O,2.9
Cc1cccc(C(=O)O)c1Br,2.9
O=C(O)CC1[NH2+]Nc2ccccc21,2.9
O=C(O)c1cccc(O)c1O,2.91
[NH3+]CC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)O,2.91
Cc1cccc(C(=O)O)c1[N+](=O)[O-],2.91
Cc1cc([N+](=O)[O-])ccc1C(=O)O,2.91
O=C(O)COc1ccc(Cl)c(Cl)c1,2.92
Cc1cccc(C(=O)O)c1I,2.92
O=C(Nc1ccc(F)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,2.92
O=C(O)C1(O)c2ccccc2-c2ccccc21,2.92
N#Cc1ccc(OCC(=O)O)cc1,2.93
O=C(O)c1ccc(I)o1,2.94
CC(=O)N1CSCC1C(=O)O,2.94
CC(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.94
Cc1cccc(C(=O)O)c1O,2.95
O=C(O)c1cc(O)ccc1O,2.95
O=C(O)COc1cccc([N+](=O)[O-])c1,2.95
Cc1ccc(I)c(C(=O)O)c1,2.95
CC1(C(=O)O)CCC=[N+]1[O-],2.95
[NH3+]CC(=O)N1CCCC1C(=O)O,2.95
S=C(S)NC1CCCCC1,2.95
O=[N+]([O-])c1cc(Cl)cc([N+](=O)[O-])c1O,2.96
CCC(C(=O)O)C(=O)O,2.96
O=C(O)COc1ccc(Cl)c([N+](=O)[O-])c1,2.96
CCN(CC)S(=O)(=O)c1ccccc1C(=O)O,2.96
O=C(O)c1ccccc1O,2.97
Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],2.97
CC(Br)C(=O)O,2.97
[NH3+]c1cccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1,2.97
S=C(S)N1CCCC1,2.97
CSC(=S)N(C)CC(=O)O,2.98
O=[N+]([O-])c1ccccc1-c1nnn[nH]1,2.98
Cc1c(C(=O)O)cccc1[N+](=O)[O-],2.98
CCCC(C(=O)O)C(=O)O,2.99
O=C(O)c1cncs1,2.99
O=C(O)C(O)Cc1c[nH]c[nH+]1,2.99
CC(=O)c1ccc(C(=O)O)s1,3
Cc1cccc(C(=O)O)c1Cl,3
O=C(O)c1cnc(Cl)s1,3
Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c2c(n1CC(=O)O)CCNC2=O,3
O=C(O)c1c2ccccc2[nH+]c2ccccc12,3
O=C(O)C1OC(Oc2ccc3[nH+]cccc3c2)C(O)C(O)C1O,3
O=C(O)C1OC(Oc2c[nH+]c3ccccc3c2)C(O)C(O)C1O,3
O=C1CC(=O)C(=O)C1,3
NC(=O)C1CC(=O)NC1C(=O)O,3
O=C(O)C1OC(Oc2cccc3ccc[nH+]c23)C(O)C(O)C1O,3.01
CN(C)C(=O)OCC(=O)O,3.01
O=C(O)COc1ccccc1O,3.02
O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1O,3.03
N#Cc1cccc(OCC(=O)O)c1,3.03
Cc1cnc(C(=O)O)s1,3.03
O=C(O)C(O)c1cccc([N+](=O)[O-])c1,3.03
CC(C)=C(C#N)C(=O)O,3.04
O=C(O)COc1ccccc1Cl,3.05
[NH3+]C(CCc1ccc([N+](=O)[O-])cc1)C(=O)O,3.05
O=C(O)C(O)(c1ccccc1)c1ccccc1,3.05
CC(C)CCC([NH3+])C(=O)O,3.06
O=C(O)COc1cccc(Cl)c1,3.07
N#CC(=CC(=O)O)c1ccccc1,3.07
O=P1(O)CCC1,3.07
Cn1cnc2c(O)[nH+]c(N)nc21,3.07
O=C(O)c1cc(F)c(F)c(F)c1F,3.08
O=C(O)COc1ccccc1F,3.08
CP(C)(=O)O,3.08
O=[N+]([O-])c1ccc(-c2nnn[nH]2)cc1,3.08
O=C(O)COc1cccc(Br)c1,3.09
Cc1ccc(C(=O)O)c(Br)c1,3.09
CC(=O)CC(=O)O,3.09
[NH3+]c1cccc(C(=O)O)c1,3.09
O=C(O)C#COc1ccccc1,3.09
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,3.1
O=C(O)COc1ccc(Cl)cc1,3.1
CC1=C(C)C(C(C)C(=O)O)=CC1=O,3.1
Cc1c(Cc2ccccc2S(=O)(=O)c2cccc(Cl)c2)c2c(n1CC(=O)O)CCNC2=O,3.1
[NH3+]c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,3.1
CC1(C)SC2C(C(=O)[O-])[NH+]=C(CCCC([NH3+])C(=O)[O-])N2C1C(=O)O,3.1
O=C(O)C1OC(Oc2cccc3[nH+]cccc23)C(O)C(O)C1O,3.1
CC(C)NC(=S)S,3.1
O=C(O)c1cc2ccccc2s1,3.1
O=C(O)Cc1nnnn1-c1ccccc1,3.1
O=C(O)c1ccc(O)cc1O,3.11
Cc1ccc2ccccc2c1C(=O)O,3.11
O=C(O)c1cc(Br)cs1,3.11
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,3.12
CC(C(=O)O)C(=O)O,3.12
COc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)c(C(=O)O)c1,3.12
Cc1ccc(Cl)c(C(=O)O)c1,3.12
CC(Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,3.12
CN(c1nc([N+](=O)[O-])n[nH]1)[N+](=O)[O-],3.12
Cc1cc(Cl)ccc1OCC(=O)O,3.13
