total_enthalpy,free_energy,homo,lumo,gap
-21.48131203,-21.36710778,-0.388884508,-0.224294003,0.150900227
-30.34157572,-30.45628122,-0.35393914,-0.298484467,0.062964345
-48.85078703,-48.27545844,-0.367716412,-0.276393291,0.086156989
-58.65086917,-58.84799444,-0.365583246,-0.264844112,0.098369195
-44.23644414,-44.35264385,-0.342998196,-0.22184914,0.121768705
-43.69283765,-43.86742878,-0.374866864,-0.259877588,0.110878395
-36.28795188,-36.56562167,-0.378135211,-0.23918573,0.124097912
-39.57319745,-39.76886032,-0.386980902,-0.311650059,0.075500623
-39.58232002,-39.61606728,-0.365272962,-0.242986516,0.126031589
-38.75608083,-38.56752389,-0.387109213,-0.270469123,0.118410503
-40.56571533,-40.04774679,-0.380517529,-0.239189131,0.137992318
-43.67552511,-43.48948837,-0.400438963,-0.24882613,0.14271728
-57.16969129,-57.26687413,-0.385344133,-0.28708623,0.098046739
-31.88045375,-31.10185716,-0.373640994,-0.230552106,0.133462206
-32.70936025,-32.08816035,-0.360351084,-0.267438627,0.096887194
-43.96313742,-43.78579949,-0.376496982,-0.238472142,0.133631526
-32.50707486,-31.33534047,-0.354432606,-0.267771046,0.089651073
-33.5773706,-33.37370501,-0.397418056,-0.297661326,0.098635866
-38.14105771,-38.24633744,-0.350911202,-0.243317177,0.124660099
-42.61088252,-42.32958396,-0.380785509,-0.292473103,0.087106065
-37.83539215,-37.79378829,-0.363861652,-0.243618572,0.119042994
-36.04338106,-36.00012151,-0.359957459,-0.234559505,0.124958015
-44.8324392,-44.90462714,-0.435949926,-0.338269996,0.090184392
-23.71457224,-24.15105658,-0.387283327,-0.253930308,0.12561408
-25.82150578,-25.69613895,-0.378841022,-0.270689769,0.106258827
-39.50413918,-39.39681326,-0.37545401,-0.297719914,0.080579193
-46.80587506,-46.89995815,-0.371355061,-0.237098763,0.136803665
-49.25689104,-49.6567023,-0.367708068,-0.269988295,0.101373957
-30.60496736,-30.44069621,-0.36623574,-0.250553219,0.112213486
-43.98625854,-44.18861139,-0.388637138,-0.268073934,0.115614103
-55.3996634,-55.25541083,-0.376801529,-0.283391516,0.089542657
-54.74148366,-54.88818752,-0.369121337,-0.264148787,0.112940912
-40.37350046,-40.88719446,-0.329275958,-0.225677827,0.10556943
-28.14375422,-28.23665737,-0.376540083,-0.22501794,0.151574671
