smiles,pkb
C1=C(c2nc3ccccc3o2)C2CCN1CC2,7.23
NNCCc1ccccc1,7.25
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,7.27
CN(C)C=Nc1cccc([N+](=O)[O-])c1,7.29
Nc1c2ccccc2nc2cccc([N+](=O)[O-])c12,7.3
Cc1cc(CO)c(C)c(C)n1,7.3
COC(=O)CCCc1c[nH]cn1,7.33
Cc1cc(C)nc(C)c1,7.35
Nc1ccnc(-c2cc(Cl)ccn2)c1,7.4
Cc1ccc(S(=O)(=O)N2CCNCC2)cc1,7.41
c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,7.44
Cc1ccnc(N)c1,7.48
CC(O)CN(Cc1ccccc1)CC(C)O,7.5
CCCCCCCCN(CC(O)CC)CC(O)CC,7.5
CC(=O)N=C(N(C)C)N(C)C,7.5
CC(C=C(c1cccs1)c1cccs1)N1CCCCCCC1,7.52
NC1CONC1=O,7.53
NC(=O)C(N)Cc1c[nH]c2ccccc12,7.55
CN(C)CCBr,7.55
Cc1cccc(C)c1NC(=O)CN1CCCCC1,7.6
O=C([O-])CCCc1c[nH]cn1,7.62
Cc1ccc2nc(C)c3c(c2c1)OC(C)C3C,7.65
CCCN(CCC)CC(=O)Nc1c(C)cccc1C,7.68
Cc1ccccc1NC(=O)CN1CCCCC1,7.7
Oc1ccccc1CN1CCOCC1,7.71
CCOC(=O)C(N)CC,7.71
C=C(C(=O)OC1CC2C3OC3C(C1)N2C)c1ccccc1,7.72
OCCN(CCO)CCO,7.76
COC1C=CC2=CCN3CCC(CO)C(=CCO)C23C1,7.79
COC1C=CC2=CCN3CCC(CO)=C(CCO)C23C1,7.8
COc1cccc(CN2CC(O[Si](C)(C)C)C2)c1,7.81
Cc1cccc(C)c1NC(=O)CNCC(C)C,7.83
Cc1ccc(NC(=O)CN2CCCCC2)cc1,7.85
CNN,7.87
CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,7.9
C[Si](C)(C)OC1CN(Cc2ccc(F)cc2)C1,7.91
CCN(CC)CC(=O)Nc1cc(C)ccc1C,7.92
CCN(CC)CC(=O)Nc1ccccc1C,7.95
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,7.96
Cc1ncc[nH]1,7.97
O=CN1CCNCC1,7.98
CCN(CC)CC(=O)Nc1ccccc1,8
CC(C)NCCC#N,8
CCCc1ncc[nH]1,8.02
NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)[O-],8.04
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,8.05
C=C(C)C(=O)OCCN(C)C,8.06
CN1CCC23c4c5ccc(OCc6ccccc6)c4OC2C(O)C=CC3C1C5,8.07
COc1cc2c(cc1OC)C(=O)Cc1ccc3c(c1CN(C)CC2)OCO3,8.09
Nc1ccnc(-c2ccccn2)c1,8.1
CNCCC#N,8.1
COc1ccccc1N=CN(C)C,8.11
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC=O,8.11
CCN(CC)CC(=O)Nc1ccc(C)cc1,8.13
COc1ccc(CN2CC(O[Si](C)(C)C)C2)cc1,8.17
CCN(CC)CC(=O)NC1CCc2ccccc21,8.19
NCc1cc(Cl)ccc1[N+](=O)[O-],8.19
CCCCCCCCN(CCO)CC(C)O,8.2
C=CCN(CC(C)O)CC(C)O,8.2
Nc1ccnc2cc(Cl)ccc12,8.22
Cc1ccccc1N=CN(C)C,8.27
CCCCCCCCN1CCCCC1,8.28
CCC(=O)SCCN(C)C,8.28
CCC(=O)OCCN(C)C,8.29
CC(=Nc1ccccc1)Nc1ccccc1,8.3
CC(=O)OCCN(C)C,8.3
NCCC(=O)c1ccccc1,8.3
CC(=O)OC(C)CN(C)C,8.31
C=CCN(CC=C)CC=C,8.31
NC1CCCC1C(=O)Oc1ccc([N+](=O)[O-])cc1,8.36
CC(N)C(=O)N1CCCC1C(=O)[O-],8.38
CCCCCCCCCCCCCCN(CC(C)O)CC(C)O,8.4
CN(C)C(C)(C)C=O,8.4
CCCCSCCN(CC)CC,8.43
CN(C)C=Nc1ccc(Cl)cc1,8.46
CC(C)(S)CN,8.48
NCC(=O)N1CCCC1C(=O)[O-],8.49
CCc1nc(C)c[nH]1,8.5
CCc1ccc(O)c(CN(C)C)c1,8.51
CCC(N)CCCl,8.53
C=C(C)C(=O)NCCN(C)C,8.54
NCc1cccc(S(N)(=O)=O)c1,8.55
CC1=C(CC(C)NCC(O)c2ccc(Br)cc2)CCC1(C)C,8.57
CC(=O)N(N=C(C)C)C1CCN(C)CC1,8.6
CCCN(CCC)CCc1c[nH]c2ccccc12,8.6
NCCc1cccc(O)c1O,8.6
COc1c(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)cccc1[N+](=O)[O-],8.61
CCCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,8.62
NC(CO)CO,8.63
CCN(CC)Cc1c(C)cccc1O,8.65
C=C(C)C(=O)OCCN(CC)CC,8.66
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,8.67
O=C(NC1CC2CCC(C1)N2Cc1ccccc1)c1cccc2c1OCCO2,8.68
O=C(CCNCCC(=O)c1ccccc1)c1ccccc1,8.69
C#CC(C)(C(C)C)N(C)C(C)C,8.7
COc1cc([N+](=O)[O-])cc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC,8.7
COC(=O)C1=CCCNC1,8.7
CC(=O)N(N)C1CCN(C)CC1,8.7
Cc1ccccc1CN(C)C,8.71
C1COCCN1,8.71
N#Cc1ccc(CN)cc1,8.72
COc1ccc(C=O)cc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.74
Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,8.77
CN(C)Cc1ccccc1CO,8.78
COc1ccc(C(O)CNC(C)CC2=C(C)C(C)(C)CC2)cc1,8.79
c1cc(N2CCOCC2)ccn1,8.79
CN1CCCC1c1ccccc1,8.8
CCC(N)(CO)CO,8.8
Oc1ccccc1CN1CCCC1,8.81
COc1ccc(F)cc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.82
CCCSCCN(CC)CC,8.83
COc1cc(Br)cc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC,8.84
COc1ccc(N)cc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.86
COC1CC2CCN1CC2,8.87
C#CCCCN(C)C,8.88
CCCN1CC(O[Si](C)(C)C)C1,8.89
CCN(CC)CCOC(=O)c1ccccc1,8.9
CCS(=O)(=O)c1cc(OC)c(OC)c(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1,8.9
CCCN(CCO)CC(C)O,8.9
C=C(C)C(=O)OCCNCC(C)C,8.91
COc1cc(S(C)(=O)=O)cc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC,8.92
COc1ccc2nccc(N)c2c1,8.94
COc1cc(CN)ccc1O,8.94
CC(=O)CCN(C)C,8.95
COCCN(C)C,8.96
CN(C)Cc1ccccc1,8.97
Cc1cc([O-])n(C2CCN(C)CC2)n1,9
CCCCCCN(CCO)CC(C)O,9
CCCN(CCO)CC(O)CC,9
CCOC(=O)C1(c2ccccc2)CCN(CC)CC1,9.03
NCC(O)c1ccc(Cl)cc1,9.04
NCc1cccc(O)c1,9.06
CCCCCCN(CCO)CC(O)CC,9.1
NC1CC1,9.1
CN(C)Cc1cccc(NC(=O)C=N[O-])c1,9.12
CCN1CCCC1CNC(=O)c1c(OC)ccc([N+](=O)[O-])c1[O-],9.12
CC(C)(C)N1NC2CCC1C2,9.12
C=C(C)C(=O)OCCNC(C)C,9.13
NCc1ccc(O)cc1,9.14
C=C(C)C(=O)OCCNCC,9.15
COCc1ccccc1CN(C)C,9.19
CCC(O)CN(CC)CC(O)CC,9.2
CN(C)Cc1c(C(C)(C)C)cccc1C(C)(C)C,9.2
Cc1ccc(N=CN(C)C)cc1,9.21
CC(C)(C)N1C2CCCC21,9.22
C#CCCN,9.23
C=CC(=O)NCCCN(C)C,9.23
CCOc1ccc(N=CN(C)C)cc1,9.24
CC(C=C(c1ccccc1)c1ccccc1)N(C)C,9.26
CC(=O)NCCN,9.28
C=CCNCCCCCCCCCCC(=O)[O-],9.3
NC12CCC(C1)C2,9.3
